Title;Directors;Banning Date;Year;Categorie censura;Censorship Symbols;URL
Bagarres;Henri Calef;1954;1948;violenza;≡;https://www.imdb.com/title/tt0040146/
Varsavia città indomita;Jerzy Zarzycki;1954;1950;politica;∅;https://www.imdb.com/title/tt0042731/
Mom and Dad;William Beaudine;1955;1945;religione;∓;https://www.imdb.com/title/tt0040603/
Il bruto;Luis Buñuel;1955;1953;violenza;≡;https://www.imdb.com/title/tt0044453/
I diabolici;Henri-Georges Clouzot;1955;1955;violenza;≡;https://www.imdb.com/title/tt0046911/
San Miniato, luglio '44;Paolo Taviani, Vittorio Taviani;1955;1954;politica;∅;https://www.imdb.com/title/tt0183739/
Série noire;Pierre Foucaud;1955;1955;violenza;≡;https://www.imdb.com/title/tt0135664/
Liebe, wie die Frau sie wünscht;Wolfgang Becker;1958;1957;sesso;∇;https://www.imdb.com/title/tt0050640/
Tahiti ou la joie de vivre;Bernard Borderie;1958;1957;sesso;∇;https://www.imdb.com/title/tt0160950/
Dracula il vampiro;Terence Fisher;1958;1958;violenza;≡;https://www.imdb.com/title/tt0051554/
Girls on the Loose;Paul Henreid;1958;1958;violenza;≡;https://www.imdb.com/title/tt0051663/
La stagione del sole;Kô Nakahira;1959;1956;violenza;≡;https://www.imdb.com/title/tt0160440/
Il diavolo in corpo;Claude Autant-Lara;1959;1947;religione;∓;https://www.imdb.com/title/tt0038476/
Gli amanti;Louis Malle;1959;1958;sesso;∇;https://www.imdb.com/title/tt0052556/
The Beat Generation;Charles F. Haas;1959;1959;violenza;≡;https://www.imdb.com/title/tt0052610/
La dolce vita;Federico Fellini;1960;1960;sesso;∇;https://www.imdb.com/title/tt0053779/
L'avventura;Michelangelo Antonioni;1960;1960;sesso;∇;https://www.imdb.com/title/tt0053619/
Psyco;Alfred Hitchcock;1960;1960;violenza;≡;https://www.imdb.com/title/tt0054215/
Le jene di Edimburgo;John Gilling;1960;1960;;≡;https://www.imdb.com/title/tt0052811/
The Leech Woman;Edward Dein;1960;1960;;≡;https://www.imdb.com/title/tt0054020/
Rocco e i suoi fratelli;Luchino Visconti;1960;1960;violenza;≡;https://www.imdb.com/title/tt0054248/
Il carabiniere a cavallo;Carlo Lizzani;1961;1961;politica;∅;https://www.imdb.com/title/tt0144128/
Luciano - Via dei Cappellari;Gian Vittorio Baldi;1961;1960;politca;∅;https://www.imdb.com/title/tt0383480/
Non uccidere;Claude Autant-Lara;1961;1961;politca;≡;https://www.imdb.com/title/tt0055244/
Private Property;Leslie Stevens;1961;1960;violenza;≡;https://www.imdb.com/title/tt0054209/
La voglia matta;Luciano Salce;1962;1962;religione;∓;https://www.imdb.com/title/tt0056665/
La donna nel mondo;Paolo Cavara, Gualtiero Jacopetti, Franco Prosperi;1962;1963;sesso;∇;https://www.imdb.com/title/tt0055923/
Il promontorio della paura;J. Lee Thompson;1962;1962;sesso;∇;https://www.imdb.com/title/tt0055824/
Chi lavora è perduto (in capo al mondo);Tinto Brass;1963;1963;politica;∅;https://www.imdb.com/title/tt0057942/
La smania addosso;Marcello Andrei;1963;1963;sesso;∇;https://www.imdb.com/title/tt0057511/
Il demonio;Brunello Rondi;1963;1963;sesso;∇;https://www.imdb.com/title/tt0167886/
Gli uccelli;Alfred Hitchcock;1963;1963;violenza;≡;https://www.imdb.com/title/tt0056869/
Una storia moderna - L'ape regina;Marco Ferreri;1963;1963;sesso;∇;https://www.imdb.com/title/tt0057532/
Le quatrième sexe;Alphonse Gimeno, Michel Wichard;1963;1963;sesso;∇;https://www.imdb.com/title/tt0055346/
La doppia vita di Dan Craig;Karel Reisz;1964;1964;violenza;≡;https://www.imdb.com/title/tt0058401/
Una donna sposata;Jean-Luc Godard;1965;1964;sesso;∇;https://www.imdb.com/title/tt0058701/
490 più 1 = 491;Vilgot Sjöman;1965;1964;sesso;∇;https://www.imdb.com/title/tt0057810/
La regina del Rio delle Amazzoni;Géza von Cziffra;1965;1964;politica;∅;https://www.imdb.com/title/tt0058285/
Un mondo nuovo;Vittorio De Sica;1966;1966;politica;∅;https://www.imdb.com/title/tt0061139/
Un affare tranquillo;Guido Franco, Mel Welles;1967;1964;politica;∅;https://www.imdb.com/title/tt1123998/
I piaceri della notte (Giochi d'amore);Walter Hugo Khouri;1967;1964;religione;∓;https://www.imdb.com/title/tt0189814/
